% #Source	#Target	#Weight
Shadi.Pur.Depot	Naraina.Depot	2
Shadi.Pur.Depot	Wp.Ngr	1
Shadi.Pur.Depot	West.Patel.Nagar	3
Karam.Pura.Terminal	Shadi.Pur.Depot	1
Karam.Pura.Terminal	Moti.Nagar.East	10
Karam.Pura.Terminal	Punjabi.Bagh.Terminal	4
Karam.Pura.Terminal	Zakhira	1
Karam.Pura.Terminal	New.Moti.Nagar	4
Karam.Pura.Terminal	Britania.Biscuit.Factory	1
Karam.Pura.Terminal	Ramesh.Nagar	2
Karam.Pura.Terminal	Raja.Garden	1
Karam.Pura.Terminal	Tilak.Nagar	1
Karam.Pura.Terminal	Lajpat.Nagar	1
Karam.Pura.Terminal	Mp.Chowk	1
Moti.Nagar.East	Punjabi.Bagh.Terminal	9
Moti.Nagar.East	Punjabi.Bagh.Xing	1
Punjabi.Bagh.Terminal	Shivaji.Park	39
Punjabi.Bagh.Terminal	Madi.Pur.Village	2
Punjabi.Bagh.Terminal	Wazir.Pur.Depot	6
Punjabi.Bagh.Terminal	Zakhira	1
Punjabi.Bagh.Terminal	Britania.Biscuit.Factory	10
Punjabi.Bagh.Terminal	Madipur.JJ.Cly	5
Punjabi.Bagh.Terminal	Punjabi.Bagh.Club	1
Punjabi.Bagh.Terminal	Punjabi.Bagh	1
Punjabi.Bagh.Terminal	Punjabi.Bagh.Extention	1
Punjabi.Bagh.Terminal	Ram.pura	1
Punjabi.Bagh.Terminal	Syndicate.Bank.Chattarpur	1
Punjabi.Bagh.Terminal	Keshav.Puram.A-1	1
Punjabi.Bagh.Terminal	Shakur.Pur.Shiv.Mandir	1
Shivaji.Park	Madi.Pur.Village	41
Shivaji.Park	Madipur	1
Madi.Pur.Village	Sahkur.Basti.Ordinance.Depot	26
Madi.Pur.Village	Multan.Nagar	5
Madi.Pur.Village	Madipur.JJ.Cly	10
Madi.Pur.Village	Ordinance.Depot	2
Madi.Pur.Village	Ambedkar.Stadium	1
Madi.Pur.Village	Oardines.Depot	1
Sahkur.Basti.Ordinance.Depot	Multan.Nagar	28
Multan.Nagar	Peera.Garhi	43
Multan.Nagar	Mangol.Puri.B-Blk	1
Peera.Garhi	Inder.Enclave	32
Peera.Garhi	Jawala.Puri	1
Peera.Garhi	Mangolpur.School	1
Peera.Garhi	Madipur.JJ.Cly	1
Peera.Garhi	Jwala.Puri	3
Peera.Garhi	Mangol.Puri.B-Blk	17
Peera.Garhi	Peera.Garhi.Depot	1
Peera.Garhi	Udyog.Nagar	1
Inder.Enclave	Jawala.Puri	29
Inder.Enclave	Nangloi	1
Inder.Enclave	Jwala.Puri	3
Jawala.Puri	Nangloi	28
Jawala.Puri	Nangloi.JJ.Colony	2
Jawala.Puri	Nangloi.Vill.	1
Nangloi	Nangloi.JJ.Colony	11
Nangloi	Kamarudin.Nagar.Xing	1
Nangloi	Mori.Gate/.ISBT	1
Nangloi	Nithari.Village	1
Nangloi	Safdarjang.Terminal	1
Nangloi	Adhyapak.Nagar	10
Nangloi	Lokesh	7
Nangloi	Kavita.Cly.	4
Nangloi.JJ.Colony	Kendriya.Terminal	1
Nangloi.JJ.Colony	Peera.Garhi	1
Nangloi.JJ.Colony	Nangloi	1
Nangloi.JJ.Colony	Kamarudin.Nagar.Xing	5
Nangloi.JJ.Colony	Swaran.Park	4
Nangloi.JJ.Colony	Anand.Vihar.Bus.Terminal	1
Nangloi.JJ.Colony	Hamdard.Nagar	1
Nangloi.JJ.Colony	Jahangir.Puri.E-Blk	1
Nangloi.JJ.Colony	New.Seema.Puri	1
Nangloi.JJ.Colony	Sultan.Puri.Xing	1
Nangloi.JJ.Colony	Tri.Nagar.Metro.Station	1
Nangloi.JJ.Colony	Lokesh	1
Kamarudin.Nagar.Xing	Nangloi.JJ.Colony	1
Kamarudin.Nagar.Xing	Swaran.Park	10
Kamarudin.Nagar.Xing	Mundka	2
Kamarudin.Nagar.Xing	Munirka	1
Kamarudin.Nagar.Xing	Kamruddin.Nagar	1
Swaran.Park	Kamarudin.Nagar.Xing	1
Swaran.Park	Mundka	14
Mundka	Nangloi.JJ.Colony	1
Mundka	Swaran.Park	1
Mundka	Railway.Xing	1
Mundka	Hiran.Kudna.Xing	2
Mundka	Oil.Factory	10
Mundka	Rasul.Pur	1
Mundka	Mundka.Railway.Xing.	2
Railway.Xing	Chor.Johra	1
Railway.Xing	I.P..Depot	1
Railway.Xing	Palam.Colony	1
Chor.Johra	Rani.Khera	3
Rani.Khera	Mubarakpur.Xing	3
Rani.Khera	Fateh.Puri	1
Rani.Khera	Madan.Pur.Dabas	1
Mubarakpur.Xing	Rani.Khera	1
Mubarakpur.Xing	Mubarkpur.Dabas	1
Mubarakpur.Xing	Madan.Pur.Dabas	3
Mubarkpur.Dabas	Mubarakpur.Xing	1
Mubarkpur.Dabas	Anand.Vihar.Bus.Terminal	1
Mubarkpur.Dabas	Nehru.Place.Terminal	2
Mubarkpur.Dabas	Ambedkar.Stadium	1
Mubarkpur.Dabas	Madan.Pur.Dabas	1
Anand.Vihar.Bus.Terminal	Anand.Vihar.Bus.Terminal	1
Anand.Vihar.Bus.Terminal	Ram.Prastha.Xing	6
Anand.Vihar.Bus.Terminal	Surya.Nagar	3
Anand.Vihar.Bus.Terminal	Hasan.Pur.Depot	5
Anand.Vihar.Bus.Terminal	Sarai.Kale.Khan.ISBT	1
Anand.Vihar.Bus.Terminal	Fateh.Puri	1
Anand.Vihar.Bus.Terminal	Gazi.Pur.Depot	9
Anand.Vihar.Bus.Terminal	Hari.Nagar.Depot	1
Anand.Vihar.Bus.Terminal	Hauz.Khas.Terminal	1
Anand.Vihar.Bus.Terminal	Ghazipur.Xing	3
Anand.Vihar.Bus.Terminal	Safdarjang.Terminal	1
Anand.Vihar.Bus.Terminal	G.P..Depot	2
Anand.Vihar.Bus.Terminal	Ram.Prasth.Flyover	1
Ram.Prastha.Xing	Anand.Vihar.Bus.Terminal	3
Ram.Prastha.Xing	Surya.Nagar	9
Ram.Prastha.Xing	Anand.Vihar.Bus.Termina	1
Ram.Prastha.Xing	Yojana.Vihar	2
Surya.Nagar	Anand.Vihar.Bus.Terminal	3
Surya.Nagar	Ram.Prastha.Xing	4
Surya.Nagar	Iit.Vivek.Vihar	1
Surya.Nagar	Esi.Hospital	1
Surya.Nagar	Seemapuri	2
Surya.Nagar	Shahdara.Border	10
Surya.Nagar	Dilshad.Garden.GT.Road	1
Surya.Nagar	Ram.Prastha	1
Iit.Vivek.Vihar	Surya.Nagar	3
Iit.Vivek.Vihar	Esi.Hospital	1
Iit.Vivek.Vihar	Vivek.Vihar	1
Esi.Hospital	Punjabi.Bagh.Terminal	3
Esi.Hospital	Iit.Vivek.Vihar	2
Esi.Hospital	Jhilmil.Colony.DDA.Flats	1
Esi.Hospital	Rohini.Depot	1
Esi.Hospital	Rohini.Sec-11.Xing	3
Esi.Hospital	Raja.Garden	2
Esi.Hospital	Punjabi.Bagh.Club	10
Esi.Hospital	Surajmal.Vihar.Trml.	1
Jhilmil.Colony.DDA.Flats	Esi.Hospital	2
Jhilmil.Colony.DDA.Flats	Surajmal.Park	1
Jhilmil.Colony.DDA.Flats	Collge.Of.Business.Studies	1
Surajmal.Park	Jhilmil.Colony.DDA.Flats	3
Surajmal.Park	Shahdara.Court	1
Shahdara.Court	Surajmal.Park	2
Shahdara.Court	Jagat.Puri.A-Blk	1
Jagat.Puri.A-Blk	Shahdara.Court	1
Jagat.Puri.A-Blk	K.K..Xing	6
