9100CHRISTC  9100HINTONA 
9100CHRISTC  9100POKSDWN 
9100CHRISTC  9100NMILTON 
9100LNSD     9100CCRT    
9100LNSD     9100PLKSHWE 
9100LNSD     9100KGPK    
9100CRSKEYS  9100RISCA   
9100CRSKEYS  9100NBRWGE  
9100ABRCYNS  9100PTYPRID 
9100ABRCYNS  9100PNRHCBR 
9100ABRCYNS  9100QUAKRSY 
9100HAGLEY   9100BLAKEDN 
9100HAGLEY   9100STRBDGJ 
9100HAGLEY   9100KDRMNST 
9100MRPTHRP  9100NWCSTLE 
9100MRPTHRP  9100ALNMOTH 
9100MRPTHRP  9100PEGSWD  
9100MRPTHRP  9100BRWCKUT 
9100MRPTHRP  9100EDINBUR 
9100MRPTHRP  9100DUNBAR  
9100MRPTHRP  9100CRMLNGT 
9100NMPTN    9100MKNSCEN 
9100NMPTN    9100WLVR    
9100NMPTN    9100RUGBY   
9100NMPTN    9100EUSTON  
9100NMPTN    9100LNGBKBY 
9100LANCSTR  9100PNTH    
9100LANCSTR  9100CARLILE 
9100LANCSTR  9100OXENHLM 
9100LANCSTR  9100CRNF    
9100LANCSTR  9100PRST    
9100LANCSTR  9100BARELA  
9100CORPACH  9100BANAVIE 
9100CORPACH  9100LCEILOB 
9100STPXBOX  9100LUTOAPY 
9100STPXBOX  9100ELTR    
9100STPXBOX  9100STALBCY 
9100STPXBOX  9100KNTSHTN 
9100STPXBOX  9100FRNDNLT 
9100STPXBOX  9100BLFR    
9100STPXBOX  9100LNDNBDC 
9100STPXBOX  9100WHMPSTM 
9100TDITTON  9100HCRT    
9100TDITTON  9100SURBITN 
9100CRYSTLP  9100NORWDJ  
9100CRYSTLP  9100GIPSYH  
9100CRYSTLP  9100BIRKBCK 
9100CRYSTLP  9100SYDENHM 
9100DANBY    9100LEALHLM 
9100DANBY    9100CTNM    
9100DNROBIN  9100GOLSPIE 
9100DNROBIN  9100BRORA   
9100WATRLMN  9100BRKWOOD 
9100WATRLMN  9100SURBITN 
9100WATRLMN  9100WOKING  
9100WATRLMN  9100GUILDFD 
9100WATRLMN  9100WBYFLET 
9100WATRLMN  9100VAUXHLM 
9100WATRLMN  9100BSNGSTK 
9100WATRLMN  9100FRBRMN  
9100WATRLMN  9100CLPHMJM 
9100WATRLMN  9100CLPHMJW 
9100WATRLMN  9100WRPLSDN 
9100WATRLMN  9100WNCHSTR 
9100STAINES  9100ASFDMSX 
9100STAINES  9100EGHAM   
9100STAINES  9100DATCHET 
9100STAINES  9100WRYSBRY 
9100STAINES  9100FELTHAM 
9100BRUNDLG  9100NRCH    
9100BRUNDLG  9100BRUNDAL 
9100REDCARC  9100REDCARE 
9100REDCARC  9100REDCBSC 
9100REDCARC  9100MDLSBRO 
9100REDCARC  9100SBRN    
9100REDCARC  9100STHBANK 
9100LENHAM   9100CRNG    
9100LENHAM   9100HRSM    
9100NEWPRTE  9100AUDLEYE 
9100NEWPRTE  9100ELSENHM 
9100BRANKSM  9100PSTONE  
9100BRANKSM  9100BOMO    
9100CFLATTS  9100KEIGHLY 
9100CFLATTS  9100BNGY    
9100SHTT     9100BLSHL   
9100SHTT     9100FAULDHS 
9100SHTT     9100WCALDER 
9100SHTT     9100HRTW    
9100GRVPK    9100HTHRGRN 
9100GRVPK    9100LNDNBDE 
9100GRVPK    9100WLOE    
9100GRVPK    9100ELMW    
9100GRVPK    9100SNDP    
9100LAWRNCH  9100STPLTNR 
9100LAWRNCH  9100BRSTLTM 
9100BLAIRHL  9100GLGHST  
9100BLAIRHL  9100COATBDS 
9100BLAIRHL  9100ESHS    
9100DERBYRD  9100WSTRFLD 
9100DERBYRD  9100TRIMLEY 
9100FELTHAM  9100ASFDMSX 
9100FELTHAM  9100WHTTON  
9100FELTHAM  9100TWCKNHM 
9100FELTHAM  9100HOUNSLW 
9100ARLSEY   9100KNGX    
9100ARLSEY   9100BIGLSWD 
9100ARLSEY   9100LTCE    
9100ARLSEY   9100HITCHIN 
9100WGSTS    9100NARBRO  
9100WGSTS    9100HINCKLY 
9100WGSTS    9100LESTER  
9100LNGCROS  9100SUNNGDL 
9100LNGCROS  9100VRGNWTR 
9100DGLROAD  9100GNTN    
9100DGLROAD  9100PENARTH 
9100BEDWRTH  9100NNTN    
9100BEDWRTH  9100COVNTRY 
9100COLSTWN  9100WDMNSTR 
9100COLSTWN  9100REEDHMS 
9100EDIDBRY  9100MNCRPIC 
9100EDIDBRY  9100BAGE    
9100EDIDBRY  9100GATLEY  
9100EDIDBRY  9100MNCRIAP 
9100TCULVRT  9100BOSTON  
9100TCULVRT  9100WAINFLT 
9100WLDNGHM  9100OXTED   
9100WLDNGHM  9100UWRLNGH 
9100CRNLRCH  9100TYNDRML 
9100CRNLRCH  9100TYNDRMU 
9100CRNLRCH  9100ARDLUI  
9100CTTGHM   9100HULL    
9100CTTGHM   9100BEVERLY 
9100BURLYIW  9100MENSTON 
9100BURLYIW  9100BNRHYDN 
9100FLEET    9100WNCFILD 
9100FLEET    9100BSNGSTK 
9100FLEET    9100FRBRMN  
9100WHINH    9100PTGLSGW 
9100WHINH    9100DRMFCHR 
9100STRNRR   9100BRRHL   
9100TLSRNAU  9100LNDC    
9100TLSRNAU  9100TYGWYN  
9100VAUXHLM  9100CLPHMJM 
9100VAUXHLM  9100CLPHMJW 
9100VAUXHLM  9100QTRDBAT 
9100BNTBY    9100MKTR    
9100BNTBY    9100BRGG    
9100BNTBY    9100GRMSBYT 
9100BNTBY    9100SCNTHRP 
9100BNTBY    9100HABRO   
9100KMPSTNH  9100BESJOHN 
9100KMPSTNH  9100STWRTBY 
9100GRSTH    9100BCWD    
9100GRSTH    9100WATFDN  
9100STRINES  9100MARPLE  
9100STRINES  9100NWMILSC 
9100RNFD     9100UPHOLND 
9100RNFD     9100KKBY    
9100BOWESPK  9100ALEXNDP 
9100BOWESPK  9100FNPK    
9100BOWESPK  9100PALMRSG 
9100BOWESPK  9100ENFC    
9100CHARTHM  9100CNTBW   
9100CHARTHM  9100CLMN    
9100YOKER    9100GSCD    
9100YOKER    9100CLYBANK 
9100YOKER    9100DALMUIR 
9100BOTLEY   9100ELGH    
9100BOTLEY   9100FAREHAM 
9100BOTLEY   9100HEDGEND 
9100MNCROXR  9100ECCLES  
9100MNCROXR  9100WIGANNW 
9100MNCROXR  9100SLFDCT  
9100MNCROXR  9100NWTNLW  
9100MNCROXR  9100WRGT    
9100MNCROXR  9100BOLTON  
9100MNCROXR  9100MNCRDGT 
9100MNCROXR  9100MNCRPIC 
9100MNCROXR  9100BIRCHWD 
9100MNCROXR  9100IRLAM   
9100MNCROXR  9100URMSTON 
9100LETHRHD  9100EPSM    
9100LETHRHD  9100BOXHAWH 
9100LETHRHD  9100DORKING 
9100LETHRHD  9100ASHD    
9100LETHRHD  9100BOOKHAM 
9100GORNGBS  9100DRNGTOS 
9100GORNGBS  9100ANGMRNG 
9100DRNGTOS  9100WWRTHNG 
9100DRNGTOS  9100ANGMRNG 
9100DRNGTOS  9100WORTHNG 
9100LGBK     9100WHHL    
9100LGBK     9100BISHPTN 
9100LOOE     9100LISKARD 
9100LOOE     9100SDPLACE 
9100LAZKRKO  9100ARMTHWT 
9100LAZKRKO  9100LWBY    
9100GARSDLE  9100KSTP    
9100GARSDLE  9100DENT    
9100ADIEWEL  9100BREICH  
9100ADIEWEL  9100FAULDHS 
9100ADIEWEL  9100WCALDER 
9100CHASNRD  9100URMSTON 
9100CHASNRD  9100FLIXTON 
9100FRINTON  9100KIRBYX  
9100FRINTON  9100WONNAZE 
9100GOBOWEN  9100SHRWBY  
9100GOBOWEN  9100RUABON  
9100GOBOWEN  9100CHIRK   
9100FRDSHM   9100HELSBY  
9100FRDSHM   9100RUNCRNE 
9100HENSALL  9100WHTBDGE 
9100HENSALL  9100SNAITH  
9100AMERSHM  9100CHLFNAL 
9100AMERSHM  9100GTMSNDN 
9100AMERSHM  9100MARYLBN 
9100AMERSHM  9100HAROOTH 
9100EMALING  9100WMALING 
9100EMALING  9100BARMING 
9100HNDFRTH  9100WLMSL   
9100HNDFRTH  9100CHDH    
9100THOPBAY  9100STHNDE  
9100THOPBAY  9100SHBRYNS 
9100PILNING  9100SEVTNLJ 
9100PILNING  9100PATCHWY 
9100LYNDHRD  9100BKNHRST 
9100LYNDHRD  9100TOTTON  
9100LYNDHRD  9100BLIEURD 
9100WOKING   9100ASHVALE 
9100WOKING   9100BRKWOOD 
9100WOKING   9100SURBITN 
9100WOKING   9100GUILDFD 
9100WOKING   9100WBYFLET 
9100WOKING   9100WDON    
9100WOKING   9100BSNGSTK 
9100WOKING   9100FRBRMN  
9100WOKING   9100CLPHMJM 
9100WOKING   9100WEYBDGE 
9100WOKING   9100HTRBUS5 
9100WOKING   9100WRPLSDN 
9100WOKING   9100WNCHSTR 
9100TREHAFD  9100PTYPRID 
9100TREHAFD  9100PORH    
9100MSTONEB  9100AYLESFD 
9100MSTONEB  9100MSTONEW 
9100MORTHRP  9100TRNO    
9100MORTHRP  9100FITZWLM 
9100MORTHRP  9100SWINTN  
9100MORTHRP  9100WKFLDWG 
9100MORTHRP  9100LEEDS   
9100MORTHRP  9100PTFTBHL 
9100BNSLY    9100WKFLDKG 
9100BNSLY    9100WOMBWEL 
9100BNSLY    9100MEADWHL 
9100BNSLY    9100DODWRTH 
9100BNSLY    9100DRTN    
9100SEERGRN  9100GERRDSX 
9100SEERGRN  9100BCNSFLD 
9100SEERGRN  9100HWYCOMB 
9100RUNCRNE  9100WRGTNBQ 
9100LYTNSHR  9100WNSTDPK 
9100LYTNSHR  9100LEYTNMR 
9100POKSDWN  9100BOMO    
