% #source	#target	#weight
167	502	4.0
167	697	3.0
167	720	4.0
169	437	10.0
169	465	5.0
171	884	2.0
172	996	3.0
173	895	1.0
173	896	44.0
173	947	49.0
173	1097	1.0
174	557	3.0
174	889	2.0
174	890	1.0
175	1123	2.0
175	1162	2.0
176	774	16.0
176	1037	1.0
176	1038	15.0
177	388	3.0
177	1090	2.0
177	1166	1.0
178	359	2.0
178	684	11.0
178	788	5.0
178	1057	1.0
178	1139	4.0
179	186	1.0
179	714	1.0
180	518	1.0
181	492	6.0
181	493	7.0
181	495	1.0
181	1204	14.0
182	451	1.0
182	452	1.0
184	842	2.0
184	1103	2.0
185	949	1.0
185	1042	1.0
188	351	6.0
190	1149	1.0
192	1142	1.0
193	457	3.0
194	330	13.0
194	1194	14.0
195	737	3.0
196	220	2.0
196	438	7.0
196	517	25.0
196	634	1.0
196	736	1.0
196	737	1.0
196	908	30.0
199	501	7.0
199	703	2.0
199	754	73.0
199	757	11.0
199	1011	68.0
199	1141	1.0
199	1142	1.0
200	697	22.0
200	749	2.0
200	751	18.0
201	252	3.0
201	261	1.0
201	300	21.0
201	303	36.0
201	339	82.0
201	996	27.0
202	777	70.0
202	913	31.0
202	1053	4.0
202	1109	35.0
203	255	2.0
203	1059	2.0
204	261	71.0
204	300	116.0
204	301	23.0
204	303	25.0
204	356	66.0
204	923	187.0
205	243	1.0
205	431	1.0
206	553	40.0
206	581	1.0
206	849	1.0
206	896	1.0
206	1021	6.0
206	1022	36.0
206	1024	1.0
207	318	4.0
208	217	1.0
208	1002	2.0
208	1214	3.0
209	303	2.0
209	991	2.0
210	999	1.0
210	1197	1.0
211	999	7.0
211	1192	7.0
212	998	1.0
213	426	44.0
213	540	27.0
214	724	1.0
214	1085	1.0
215	243	14.0
215	1169	13.0
216	845	1.0
216	1210	1.0
217	225	3.0
217	273	3.0
217	315	1.0
217	839	14.0
217	914	84.0
217	999	9.0
217	1016	92.0
217	1023	1.0
217	1133	1.0
217	1214	1.0
218	597	14.0
218	999	9.0
218	1106	5.0
219	247	1.0
219	1097	1.0
220	231	12.0
220	341	12.0
220	735	1.0
220	737	9.0
220	944	12.0
221	231	2.0
221	247	10.0
221	438	4.0
221	960	1.0
221	1027	39.0
222	1121	2.0
223	243	1.0
223	1169	1.0
225	985	2.0
227	754	1.0
227	925	1.0
228	231	5.0
228	247	18.0
228	438	25.0
228	597	1.0
228	960	3.0
229	343	4.0
229	398	4.0
231	247	2.0
231	438	13.0
231	517	4.0
231	736	1.0
231	737	13.0
232	936	2.0
232	1110	2.0
233	1158	1.0
234	1027	1.0
235	317	1.0
235	1203	4.0
236	1025	1.0
237	788	2.0
238	327	1.0
238	416	1.0
240	529	1.0
240	711	1.0
241	392	1.0
241	1088	1.0
243	285	1.0
243	444	4.0
243	852	2.0
243	1006	11.0
244	570	4.0
244	686	9.0
245	686	1.0
247	248	1.0
247	597	16.0
247	656	2.0
247	806	16.0
247	958	3.0
247	1010	10.0
248	806	2.0
249	250	1.0
249	251	1.0
250	699	1.0
251	1076	1.0
252	339	1.0
256	679	3.0
256	883	3.0
258	1017	8.0
258	1043	7.0
258	1081	1.0
260	616	1.0
261	300	2.0
261	486	10.0
261	923	5.0
261	1208	2.0
261	1215	8.0
262	1052	9.0
263	265	1.0
264	265	1.0
264	940	1.0
264	1081	1.0
268	563	1.0
268	982	1.0
269	1116	4.0
269	1175	4.0
270	940	15.0
270	944	1.0
270	1081	20.0
271	789	1.0
271	790	2.0
271	981	3.0
272	730	2.0
272	772	2.0
273	525	17.0
273	839	8.0
273	914	6.0
274	337	10.0
274	1059	10.0
275	943	1.0
275	1163	1.0
276	829	2.0
276	1014	2.0
277	560	3.0
277	594	3.0
278	895	1.0
278	896	39.0
278	936	7.0
278	995	1.0
279	808	1.0
280	750	1.0
281	646	1.0
281	648	1.0
282	736	2.0
282	737	8.0
282	795	4.0
282	797	6.0
283	812	1.0
284	325	1.0
284	631	1.0
285	431	1.0
286	421	1.0
286	705	1.0
287	911	6.0
287	999	4.0
287	1016	13.0
287	1192	15.0
288	959	1.0
290	338	3.0
290	871	3.0
290	1059	10.0
291	618	18.0
291	778	2.0
291	1200	3.0
293	339	1.0
293	354	11.0
293	372	1.0
293	991	1.0
294	304	1.0
294	918	1.0
295	304	1.0
296	907	4.0
296	1123	4.0
297	412	1.0
297	596	1.0
298	352	1.0
298	740	1.0
298	748	17.0
298	815	1.0
298	901	1.0
298	1031	5.0
300	301	2.0
300	356	3.0
300	923	5.0
300	948	1.0
300	996	59.0
301	305	10.0
301	709	1.0
301	739	2.0
301	740	1.0
301	948	11.0
302	671	1.0
303	356	3.0
303	996	6.0
304	429	1.0
304	835	1.0
305	356	70.0
305	739	2.0
305	740	1.0
305	1158	79.0
305	1159	1.0
306	551	4.0
306	844	4.0
308	453	12.0
308	1157	1.0
309	1204	1.0
310	342	1.0
310	501	8.0
310	1058	1.0
311	777	1.0
311	947	6.0
312	437	16.0
312	749	2.0
312	751	19.0
314	674	1.0
314	721	29.0
315	923	1.0
315	991	1.0
316	446	3.0
316	1201	3.0
317	611	1.0
318	1081	7.0
319	474	2.0
319	1095	2.0
320	995	35.0
320	1026	1.0
320	1158	36.0
321	446	10.0
321	692	11.0
322	423	1.0
322	966	1.0
326	781	1.0
327	435	1.0
328	995	2.0
328	1077	3.0
329	995	6.0
329	1077	1.0
330	763	7.0
330	1211	3.0
331	758	1.0
