% #Source	#Target	#Weight	
Samratnagar	Royal.Tiles	1.0
Samratnagar	Smruti.Mandir	1.0
Royal.Tiles	Samratnagar	2.0
Royal.Tiles	Smruti.Mandir	1.0
Royal.Tiles	Muktajivan.Vidya.Mandir	2.0
Smruti.Mandir	Royal.Tiles	4.0
Smruti.Mandir	Nigam.Society	2.0
Nigam.Society	Smruti.Mandir	4.0
Nigam.Society	Nigam.Society	1.0
Nigam.Society	Maninagar	1.0
Nigam.Society	Vrindavan.Society	1.0
Nigam.Society	Yash.Tenaments	1.0
Nigam.Society	P.D.Pandya.College	1.0
Jaymala	Govindwadi	1.0
Jaymala	Jawahar.Chowk.(Maninagar)	2.0
Jaymala	Hirabhai.Tower	1.0
Jawahar.Chowk.(Maninagar)	Bhairavnath	7.0
Jawahar.Chowk.(Maninagar)	Anandwadi	1.0
Jawahar.Chowk.(Maninagar)	Maninagar.Railway.Crossing	1.0
Jawahar.Chowk.(Maninagar)	Maninagar	1.0
Jawahar.Chowk.(Maninagar)	Hirabhai.Tower	1.0
Shah.Alam	S.T.(Gita.Mandir)	2.0
Nehru.Bridge	Lal.Darwaja	10.0
Nehru.Bridge	Natraj	9.0
Nehru.Bridge	Madalpur	7.0
Nehru.Bridge	Gujarat.College	3.0
Nehru.Bridge	V.S.Hospital	5.0
Nehru.Bridge	Sardarbag	2.0
Nehru.Bridge	Sanyash.Ashram	3.0
Nehru.Bridge	Madalpur.Garnala	2.0
Natraj	Income.Tax	9.0
Natraj	Mithakhali.Underbridge	3.0
Income.Tax	Wadaj	7.0
Income.Tax	Delhi.Darwaja	1.0
Income.Tax	Shahpur.Darwaja	2.0
Income.Tax	Navrangpura	1.0
Income.Tax	Mount.Carmel.School	2.0
Income.Tax	Gandhi.Bridge	5.0
Income.Tax	Usmanpura	25.0
Income.Tax	Shankar.Bhuvan	1.0
Income.Tax	Rajiv.Gandhi.Underbridge	1.0
Wadaj	Lal.Darwaja	1.0
Wadaj	Income.Tax	2.0
Wadaj	Subhash.Bridge.Circle	4.0
Wadaj	Nava.Wadaj	5.0
Wadaj	Chandkheda	1.0
Wadaj	Subhash.Bridge	2.0
Wadaj	Usmanpura	4.0
Wadaj	Gandhi.Ashram	4.0
Wadaj	Bhimjipura	7.0
Subhash.Bridge.Circle	Prabodh.Raval.Bridge	2.0
Subhash.Bridge.Circle	Shahibag.Underbridge	1.0
Subhash.Bridge.Circle	Chimanbhai.Patel.Bridge	1.0
Subhash.Bridge.Circle	Naranghat	2.0
Subhash.Bridge.Circle	Police.Comissioner.Office	1.0
Subhash.Bridge.Circle	Gandhi.Ashram	3.0
Subhash.Bridge.Circle	Keshav.Nagar	7.0
Subhash.Bridge.Circle	Bhavsar.Hostel	1.0
Prabodh.Raval.Bridge	Radhaswami.Satsang	1.0
Prabodh.Raval.Bridge	Umang.Park.Society	1.0
Prabodh.Raval.Bridge	Subhash.Bridge	1.0
Radhaswami.Satsang	Prabodh.Raval.Bridge	1.0
Radhaswami.Satsang	Maganpura	1.0
Radhaswami.Satsang	Maganpura.Chowk	1.0
Radhaswami.Satsang	Subhash.Bridge	2.0
Maganpura	Ranip	1.0
Ranip	Lal.Darwaja	1.0
Ranip	Radhaswami.Satsang	2.0
Ranip	Sarangpur	1.0
Ranip	Sardar.Patel.Chowk	1.0
Ranip	Mahalaxmi.Society	1.0
Shah.Alam.Darwaja	S.T.(Gita.Mandir)	2.0
Shah.Alam.Darwaja	Shah.Alam.Toll.Naka	1.0
Shah.Alam.Darwaja	Chandola.Lake	2.0
Shah.Alam.Darwaja	Nilamkunj	1.0
Shah.Alam.Darwaja	F.C.I.Godown	1.0
Shah.Alam.Darwaja	Bhulabhai.Park	1.0
Chandola.Lake	Bhattha	1.0
Chandola.Lake	Ranipur.Road	1.0
Chandola.Lake	Narol.Gam	1.0
Bhattha	Narol.Turning	1.0
Bhattha	Shahwadi	1.0
Bhattha	Anand.Nagar	1.0
Narol.Turning	Shahwadi	1.0
Shahwadi	Bibi.Lake	1.0
Shahwadi	Narol.Court	1.0
Shahwadi	Narol.Gam	2.0
Bibi.Lake	Vatva.Gam	2.0
Bibi.Lake	Gebanshah.Dargah	1.0
Bibi.Lake	Ambika.Tubes	1.0
Vatva.Gam	Bibi.Lake	1.0
Vatva.Gam	Namdar.Farm	1.0
Vatva.Gam	Dani.Limda.Gam	1.0
Vatva.Gam	Mahalaxmi.Corner	1.0
Namdar.Farm	New.Vatva.Gram.Panchayat	1.0
New.Vatva.Gram.Panchayat	Gamdi.Gam	1.0
Gamdi.Gam	Chosar	1.0
Chosar	Lal.Darwaja	1.0
Krishnabag	Pushpkunj	7.0
Krishnabag	Jawahar.Chowk.(Maninagar)	1.0
Krishnabag	Maninagar	2.0
Krishnabag	Rambag	4.0
Anandwadi	Jaymala	1.0
Anandwadi	Jawahar.Chowk.(Maninagar)	1.0
Anandwadi	Ramwadi	1.0
Anandwadi	Vashisht.Nagar	1.0
Ramwadi	Isanpur	1.0
Ramwadi	Nirnaynagar.Garnala	1.0
Ramwadi	Madhavbag	2.0
Ramwadi	Vimal.Tenament	1.0
Parasnagar	Isanpur	1.0
Parasnagar	Kharawala.Factory	1.0
Parasnagar	Naranpura	1.0
Parasnagar	Bhuyangdev	1.0
Parasnagar	Sola.Complex	1.0
Kharawala.Factory	Gebanshah.Dargah	1.0
Gebanshah.Dargah	Bibi.Lake	2.0
Gebanshah.Dargah	Parasnagar	1.0
Ambika.Tubes	Gujarat.Offset	1.0
Gujarat.Offset	Vatva.Railway.Crossing	1.0
Gujarat.Offset	P.D.Pandya.College	1.0
Gujarat.Offset	Pinakinpark.Society	1.0
Vatva.Railway.Crossing	Vivekanand.Nagar	1.0
Vatva.Railway.Crossing	Shri.Shantinath.Jain.Tirth.Dham	1.0
Vivekanand.Nagar	Lal.Darwaja	1.0
Vivekanand.Nagar	Nigam.Society	1.0
Vivekanand.Nagar	Amardham	1.0
Vivekanand.Nagar	Subhash.Chowk	1.0
Vivekanand.Nagar	Geratpur.Railway.Station	1.0
Amardham	Hathijan.Gam.Approach	1.0
Hathijan.Gam.Approach	Vivekanand.Nagar	1.0
Hathijan.Gam.Approach	Geratnagar	1.0
Geratnagar	Vatva.Patiya	1.0
Geratnagar	Hathijan.Vad	1.0
Geratnagar	Hathijan	1.0
Vatva.Patiya	Nirma	1.0
Vatva.Patiya	Vinjol.Appraoch	1.0
Vatva.Patiya	Swaminarayan.Vidyalay	1.0
Nirma	Vatva.Patiya	1.0
Nirma	Trikampura.Patiya	1.0
Nirma	Matoda.Patiya	1.0
Trikampura.Patiya	Geratnagar	1.0
Trikampura.Patiya	Nirma	1.0
Trikampura.Patiya	Jashodanagar	1.0
Jashodanagar	Dr.Shyamprasad.Mukherjee.Chowk	1.0
Dr.Shyamprasad.Mukherjee.Chowk	Maniyasa	1.0
Dr.Shyamprasad.Mukherjee.Chowk	Jashodanagar.Cross.Road	2.0
Dr.Shyamprasad.Mukherjee.Chowk	Kans	1.0
Maniyasa	Dr.Shyamprasad.Mukherjee.Chowk	1.0
Maniyasa	Maninagar.Railway.Crossing	2.0
Maninagar.Railway.Crossing	Jawahar.Chowk.(Maninagar)	3.0
Maninagar.Railway.Crossing	Maninagar.Terminus	1.0
Maninagar.Railway.Crossing	Maninagar	1.0
Maninagar.Railway.Crossing	Dakshini.Society	1.0
Maninagar.Railway.Crossing	Vishwanath.Mahadev	1.0
Maninagar.Railway.Crossing	Swaminarayan.Mandir	1.0
Maninagar.Terminus	Maninagar.Railway.Crossing	2.0
Maninagar.Terminus	L.G.Corner	1.0
Maninagar.Terminus	Dakshini.Society	1.0
L.G.Corner	Nathalal.Jagda.Bridge	3.0
L.G.Corner	Maninagar	1.0
L.G.Corner	Maninagar.Cross.Road	1.0
L.G.Corner	Balvatika	1.0
Nathalal.Jagda.Bridge	L.G.Corner	2.0
Nathalal.Jagda.Bridge	Madrasi.Mandir	3.0
Nathalal.Jagda.Bridge	Maninagar	1.0
Nathalal.Jagda.Bridge	Khokhra.Circle	1.0
Nathalal.Jagda.Bridge	Laxminarayan.Turning	1.0
Madrasi.Mandir	Nathalal.Jagda.Bridge	1.0
Madrasi.Mandir	Sardar.Patel.Complex	1.0
Madrasi.Mandir	Railway.Colony	1.0
Madrasi.Mandir	Bihari.Mills	1.0
Sardar.Patel.Complex	C.T.M.Cross.Road	1.0
C.T.M.Cross.Road	Ami.Akhandanand.Society	1.0
C.T.M.Cross.Road	Jashodanagar.Cross.Road	1.0
Ami.Akhandanand.Society	Karnavati.Flats	1.0
Karnavati.Flats	Hatkeshwar.Mahadev	1.0
