% #Source	#Target	#Weight	
Nil.Depot	Dum.Dum.Station.	1.0
Dum.Dum.Station.	Chiria.More	1.0
Dakshineshwar	Jadavpur	1.0
Dakshineshwar	Dunlop	3.0
Dakshineshwar	Bally.Holt	1.0
Dakshineshwar	Dunlop.(Baranagar.Road.Station)	1.0
Bally.Holt	Dankuni	1.0
Dankuni	Howrah.Maidan.	1.0
Howrah.Maidan.	Howrah.Station	1.0
Howrah.Station	Jadavpur	1.0
Howrah.Station	Taratala.	1.0
Howrah.Station	Moulali	1.0
Howrah.Station	Garia.Bus.Stand.	1.0
Howrah.Station	Sona.Mukhi.BAZAR	1.0
Howrah.Station	Dumdum.Station.	1.0
Howrah.Station	Howrah.Court.Foresore.Road	1.0
Sealdah	Taratala.	1.0
Sealdah	Moulali	8.0
Sealdah	College.Street	2.0
Sealdah	Bank.of.India	3.0
Sealdah	Rajabazar	5.0
Sealdah	Beliaghata	3.0
Sealdah	Sales.Tax.Beleghata	1.0
Taratala.	Bace.Bridge	1.0
Taratala.	Behala	1.0
Bace.Bridge	Gingira.Bazar	1.0
Gingira.Bazar	Mollar.Gate	1.0
Mollar.Gate	Dakghar	1.0
Mollar.Gate	Akra.Santoshpur	2.0
Dakghar	Chandannagar	3.0
Dakghar	Eden.City.Maheshtala	2.0
Chandannagar	Mahestala.College	1.0
Chandannagar	Memanpur	2.0
Mahestala.College	Memanpur	1.0
Memanpur	Bata.More	3.0
Bata.More	Mahestala	1.0
Bata.More	Maheshtala	2.0
Mahestala	Nungi.More	1.0
Nungi.More	ESI.Hospital	1.0
ESI.Hospital	Eden.City	1.0
Eden.City	Sarengabad	1.0
Sarengabad	Shyampur.Bazar	1.0
Shyampur.Bazar	Budge.Budge	1.0
Budge.Budge	Dahighat	1.0
Budge.Budge	Charial.Bazar	2.0
Dahighat	Khidirpore	1.0
Khidirpore	Esplanade	1.0
Khidirpore	2nd.Hoogly.Bridge	2.0
Khidirpore	Hastings	1.0
Mominpur	Ekbalpur	8.0
Mominpur	Hazra	1.0
Mominpur	Gopal.Nagar	1.0
Mominpur	Gopalnagar	1.0
Gopal.Nagar	Kalighat	1.0
Gopal.Nagar	Chetla	1.0
Kalighat	Rashbehari.Tollygunge.Phari	1.0
Ballygunj.Phari	Bondel.Gate	1.0
Bondel.Gate	Loha.Pool	1.0
Loha.Pool	Park.Circus	1.0
Park.Circus	Ananda.Palit	1.0
Park.Circus	CIT.Road	1.0
Park.Circus	Bridge.No.4	5.0
Park.Circus	Topsia	1.0
Ananda.Palit	Moulali	1.0
Moulali	Esplanade	8.0
Moulali	Mullickbazar	1.0
Moulali	Rashmani.Bazar	1.0
College.Street	M.G.Road	1.0
College.Street	Bank.of.India	1.0
Bank.of.India	Bowbazar	4.0
Bowbazar	Lalbazar	4.0
Lalbazar	Dalhousie	4.0
Dalhousie	Babughat	4.0
Babughat	Esplanade	3.0
Babughat	Khidderpore	1.0
Babughat	Prinsep.Ghat	4.0
Prinsep.Ghat	Khidderpore	2.0
Prinsep.Ghat	P.T.S.	1.0
Prinsep.Ghat	Khidirpur.Mominpore	1.0
Behala.Tram.Depot	Majherhat	5.0
Behala.Tram.Depot	Taratala	2.0
Behala.Chowrasta	Howrah.Station.	1.0
Behala.Chowrasta	Behala.Tram.Depot	5.0
Sakherbazar	Behala.Chowrasta	5.0
Sakherbazar	Thakurpukur.	2.0
Sakherbazar	Chowrasta	3.0
Sakherbazar	Thakurpukur	3.0
Sakherbazar	Chowrasta.Behala	1.0
Thakurpukur.	Kankurgachi.	1.0
Thakurpukur.	Kankurgachi	1.0
Thakurpukur.	Silpara	1.0
Kankurgachi.	Phoolbagan	1.0
Phoolbagan	Narkeldanga.Main.Road	2.0
Phoolbagan	Kankurgachi.Ultadanga	1.0
Narkeldanga.Main.Road	Maniktala	1.0
Narkeldanga.Main.Road	Rajabazar	1.0
Maniktala	Phoolbagan	1.0
Maniktala	Kankurgachi	4.0
Maniktala	Khanna	3.0
Maniktala	Raja.Bazar	1.0
Maniktala	Kankurgachi.Ultadanga	1.0
Rajabazar	Maniktala	5.0
Ajanta	Majherhat	3.0
Pathak.Para	Ajanta	1.0
Pathak.Para	Taratal	1.0
Behala.PS	Behala.Tram.Depot	1.0
Behala.PS	Pathak.Para	6.0
Behala.PS	Behala.14.No.Bus.Stand	1.0
Behala.14.No.Bus.Stand	Sarsuna	1.0
Sarsuna	Bakultala	1.0
Sarsuna	Sarkarhat	3.0
Sarsuna	Sasthir.More.	1.0
Bakultala	Behala.Chowrasta	2.0
Bakultala	Chowrata	2.0
Chowrasta	Behala.Tram.Depot	1.0
Chowrasta	Bakultala	5.0
Chowrasta	Behala.Tram.Depo	5.0
Chowrasta	Silpara	1.0
Behala.Tram.Depo	Ajanta	1.0
Behala.Tram.Depo	Behala.PS	6.0
Khidirpur	Esplanade	3.0
Khidirpur	Princep.Ghat	2.0
Princep.Ghat	Babughat	2.0
Saltlake.Sec.5	Howrah.Station	1.0
Jadavpur.8B.Bus.Stand	Jadavpur.PS	1.0
Sulekha	Jadavpur.8B.Bus.Stand	5.0
Sulekha	SantoshpurAjoynagar	1.0
Sulekha	Santoshpur	4.0
Baghajatin	Sulekha	5.0
Baghajatin	Jadavpur.Jadavpur.P.S.	1.0
Gangulybagan	Baghajatin	5.0
Ramgarh	Baghajatin	1.0
Ramgarh	Gangulybagan	6.0
Ramgarh	Padmadree	1.0
Ramgarh	Padmasree	4.0
Padmadree	Baishnabghata	1.0
Baishnabghata	Garia.Bus.Stand	7.0
Baishnabghata	Garia	2.0
Baishnabghata	Padmasree	4.0
Baishnabghata	Garia.	1.0
Garia.Bus.Stand	Howrah.Station.	1.0
Garia.Bus.Stand	Jadavpur	1.0
Garia.Bus.Stand	Howrah.Station	1.0
Garia.Bus.Stand	Salt.Lake.Karunamoyee.	1.0
Garia.Bus.Stand	Sitala.Mandir	1.0
Garia.Bus.Stand	Shakuntala.Park..	1.0
Garia.Bus.Stand	Santragachi..	1.0
Garia.Bus.Stand	Kolkata.Railway.Station..	1.0
Tollygunge.Metro	Tollygunge.Phari	3.0
Tollygunge.Metro	Ranikuthi	2.0
Ranikuthi	Tollygounge.Metro	1.0
Ranikuthi	Layalka	1.0
Netaji.Nagar	Ranikuthi	3.0
Bansdroni	Netaji.Nagar	3.0
Naktala	Garia.Bus.Stand	1.0
Naktala	Bansdroni	3.0
Naktala	Garia	2.0
Garia	Garia.Bus.Stand.	1.0
Garia	Howrah	1.0
Garia	Parnasree.	1.0
Garia	Ballygunge	1.0
Garia	Baisnabghat	1.0
Garia.Bus.Stand.	Baishnabghata	1.0
