0	0	0	0	0	2	0	0	0	0	0	0	0
1	4	2	1	0	7	2	0	0	0	0	1	0
0	0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	378	1	2	3	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	3	0	2	8	0	0	0	0	0	0
27	273	0	13	0	16	6	0	15	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0
9	72	0	2	0	4	0	0	2	0	0	0	0
0	0	0	0	0	0	0	4	0	0	0	0	0
0	0	0	1	0	0	0	0	1	0	0	0	0
0	0	0	3	2	0	2	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	2	0	0	1
0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	3	0	0	0	0	0	0
0	8	0	6	0	2	4	0	0	0	0	0	0
0	0	0	8	0	1	5	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0
4	1	0	32	1	2	44	0	0	0	0	0	0
0	2	1	1	0	1	0	0	0	0	1	1	0
4	52	21	4	0	5	0	0	0	1	0	0	0
2	0	1	0	0	5	0	0	0	18	3	2	25
0	0	0	0	0	1	0	0	0	0	0	0	2
0	1	0	1	0	3	3	0	0	0	0	0	0
0	1	0	1	0	0	0	0	0	0	0	0	0
5	3	0	7	6	0	3	0	2	0	0	0	0
0	0	1	5	0	0	0	0	0	1	0	0	0
5	0	0	4	1	0	0	0	1	1	0	0	0
0	0	0	0	0	1	0	0	0	0	0	0	0
1	0	0	22	9	0	0	0	0	0	0	0	0
0	0	0	0	0	0	3	3	0	0	0	0	0
0	4	0	7	0	1	7	2	0	1	0	0	0
0	4	0	3	0	2	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0
0	7	0	4	1	1	3	0	0	0	0	0	0
8	0	0	16	0	0	0	0	0	0	0	0	0
20	2	20	418	130	79	122	17	0	8	0	0	0
0	0	0	10	2	4	1	0	0	0	0	0	0
0	0	1	4	0	0	3	0	0	0	0	0	0
4	0	0	37	8	2	4	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0	0	0	0	0
0	0	0	2	0	0	0	0	0	0	0	0	0
0	0	0	5	0	2	0	0	0	0	0	0	0
