20	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	7	3
0	0	0	0	0	0	0	0	0	0	0	0	15
37	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	12
0	0	0	0	0	0	0	0	0	1	13	0	0
0	0	87	0	0	0	0	0	0	0	0	0	0
1	7	4	0	0	1	0	0	0	0	0	0	0
0	1	0	0	0	2	0	8	4	0	0	0	0
0	0	2	0	0	6	0	0	1	0	1	0	1
0	1	15	0	0	9	0	1	0	0	0	0	0
0	0	0	0	4	0	1	0	2	23	2	0	0
0	0	0	0	0	0	0	2	5	7	0	0	4
0	0	0	0	0	0	0	1	14	4	0	0	0
0	1	0	0	0	0	0	2	4	3	1	0	0
0	0	0	0	0	0	0	3	4	0	0	0	3
0	0	0	0	0	1	0	14	0	0	3	0	1
0	0	0	0	0	0	0	0	0	0	0	14	0
0	0	1	0	0	0	0	13	0	0	0	0	0
1	0	1	0	1	0	20	0	0	1	0	0	0
3	0	0	0	0	0	14	0	22	7	0	0	36
0	1	0	2	1	0	17	0	5	3	0	0	1
2	0	0	0	1	0	14	2	0	0	0	0	2
2	1	0	0	1	0	7	2	3	14	2	0	2
2	1	1	1	3	0	16	1	9	6	3	0	7
0	0	6	0	0	0	0	3	2	0	0	0	0
5	25	0	0	2	0	12	0	0	4	0	0	0
1	6	2	0	0	0	1	0	1	0	0	0	0
1	0	0	0	0	0	6	0	4	5	0	0	0
0	1	7	0	13	0	1	0	9	0	3	0	0
0	4	1	0	6	0	10	7	31	7	0	0	0
11	19	4	0	1	0	7	1	11	29	0	0	0
51	6	0	0	0	0	11	2	3	0	0	0	0
0	0	1	0	4	0	0	7	0	0	0	0	0
